,기간,자치구,동,인구,면적,인구밀도
154,2019,도봉구,쌍문1동,"22,364",1.24,"18,035"
155,2019,도봉구,쌍문2동,"20,025",0.54,"37,083"
156,2019,도봉구,쌍문3동,"17,262",0.5,"34,524"
157,2019,도봉구,쌍문4동,"19,811",0.52,"38,098"
158,2019,도봉구,방학1동,"30,056",0.69,"43,559"
159,2019,도봉구,방학2동,"21,140",0.74,"28,568"
160,2019,도봉구,방학3동,"28,782",2.64,"10,902"
161,2019,도봉구,창1동,"26,271",0.88,"29,853"
162,2019,도봉구,창2동,"30,498",1.07,"28,503"
163,2019,도봉구,창3동,"14,777",0.67,"22,055"
164,2019,도봉구,창4동,"27,873",0.96,"29,034"
165,2019,도봉구,창5동,"25,802",0.7,"36,860"
166,2019,도봉구,도봉1동,"22,293",8.72,"2,557"
167,2019,도봉구,도봉2동,"28,677",0.83,"34,551"
169,2019,노원구,월계1동,"23,883",1.16,"20,589"
170,2019,노원구,월계2동,"27,289",1.94,"14,066"
171,2019,노원구,월계3동,"31,593",1.17,"27,003"
172,2019,노원구,공릉2동,"41,071",6.82,"6,022"
173,2019,노원구,하계1동,"29,305",1.55,"18,906"
174,2019,노원구,하계2동,"23,318",0.51,"45,722"
175,2019,노원구,중계본동,"25,875",1.97,"13,135"
176,2019,노원구,중계1동,"28,061",0.63,"44,541"
177,2019,노원구,중계4동,"21,324",1.7,"12,544"
178,2019,노원구,상계1동,"40,121",5.62,"7,139"
179,2019,노원구,상계2동,"21,220",0.61,"34,787"
180,2019,노원구,상계5동,"25,483",0.44,"57,916"
181,2019,노원구,상계8동,"23,953",0.67,"35,751"
182,2019,노원구,상계9동,"21,919",0.81,"27,060"
183,2019,노원구,상계10동,"16,619",0.8,"20,774"
184,2019,노원구,상계3·4동,"25,818",5.62,"4,594"
185,2019,노원구,상계6·7동,"34,648",1.11,"31,214"
186,2019,노원구,중계2·3동,"36,763",0.9,"40,848"
187,2019,노원구,공릉1동,"39,040",1.41,"27,688"
189,2019,은평구,녹번동,"38,411",1.79,"21,459"
190,2019,은평구,불광1동,"40,917",3.13,"13,073"
191,2019,은평구,갈현1동,"24,536",0.97,"25,295"
192,2019,은평구,갈현2동,"30,150",0.96,"31,406"
193,2019,은평구,구산동,"33,804",1.38,"24,496"
194,2019,은평구,대조동,"27,910",0.85,"32,835"
195,2019,은평구,응암1동,"25,654",1.2,"21,378"
196,2019,은평구,응암2동,"25,466",0.78,"32,649"
197,2019,은평구,신사1동,"28,570",0.84,"34,012"
198,2019,은평구,신사2동,"21,875",1.0,"21,875"
199,2019,은평구,증산동,"16,172",0.81,"19,965"
200,2019,은평구,수색동,"8,952",1.29,"6,940"
201,2019,은평구,진관동,"58,006",11.53,"5,031"
202,2019,은평구,불광2동,"29,552",1.38,"21,414"
203,2019,은평구,응암3동,"26,081",0.63,"41,398"
204,2019,은평구,역촌동,"48,490",1.16,"41,802"
206,2019,서대문구,천연동,"18,704",0.97,"19,282"
207,2019,서대문구,홍제1동,"24,997",1.23,"20,323"
208,2019,서대문구,홍제3동,"16,420",0.81,"20,272"
209,2019,서대문구,홍제2동,"14,570",1.05,"13,876"
210,2019,서대문구,홍은1동,"22,902",1.58,"14,495"
211,2019,서대문구,홍은2동,"28,394",2.06,"13,783"
212,2019,서대문구,남가좌1동,"16,918",0.51,"33,173"
213,2019,서대문구,남가좌2동,"25,947",0.77,"33,697"
214,2019,서대문구,북가좌1동,"19,160",0.55,"34,836"
215,2019,서대문구,북가좌2동,"33,810",0.84,"40,250"
216,2019,서대문구,충현동,"18,113",1.12,"16,172"
217,2019,서대문구,북아현동,"17,525",0.46,"38,098"
218,2019,서대문구,신촌동,"24,372",2.63,"9,267"
219,2019,서대문구,연희동,"41,339",3.05,"13,554"
221,2019,마포구,용강동,"22,441",0.84,"26,715"
222,2019,마포구,대흥동,"13,575",0.88,"15,426"
223,2019,마포구,염리동,"13,486",0.43,"31,363"
224,2019,마포구,신수동,"23,877",0.78,"30,612"
225,2019,마포구,서교동,"25,997",1.65,"15,756"
226,2019,마포구,합정동,"19,153",1.72,"11,135"
227,2019,마포구,망원1동,"21,856",1.13,"19,342"
228,2019,마포구,망원2동,"19,386",0.67,"28,934"
229,2019,마포구,연남동,"16,953",0.64,"26,489"
230,2019,마포구,성산1동,"20,164",0.8,"25,205"
