,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
63,답십리2동,1.0212895227690888,0.4639641428118584,-0.7449870724023936,-0.2810229295905352,1.4852536655809472,0.2763024503666952,0.7402665931785536,63,-0.8824176108295296,-0.4879285370513451,-0.34467909300421706,-0.631548271380362,-0.31172844374295033,-0.9432767151233123,1,1,1.0
64,당산1동,0.3864763360081339,0.8151061249693635,-0.6721427571272359,0.1429633678421275,1.2015824609774974,-0.2856664211191021,0.5294397038502614,64,0.3689036834571611,-0.42202165597145647,0.3436514416068625,-0.322694214788351,-0.23077210163657216,-0.5534663164249232,1,1,1.0
71,대치1동,0.8099659558424714,0.6877952971835971,1.2700374004848949,1.957832697668492,1.4977612530260684,2.0800033563273663,2.7677986535109627,71,1.6202249777438518,-0.6197422992111223,0.3183623605266774,-0.26092340346994874,-0.7704810490124265,-1.0314044524823753,1,1,1.0
84,독산3동,1.1016065196342215,0.2493937087779294,-0.7449870724023936,-0.4955933636244642,1.3510002284121512,0.3566194472318281,0.6060131560097576,84,-0.8824176108295296,-0.3561147748915679,-0.3109195095198457,-0.5080066487435575,0.03908237205135504,-0.46892427669220244,1,1,1.0
87,돈암2동,1.4842355693850735,-0.5644522830548809,-0.7449870724023936,-1.3094393554572743,0.9197832863301928,0.7392484969826801,0.1747962139277992,87,-0.8824176108295296,0.36886091698720685,2.8171644196401737,0.17147227575886656,-0.7704810490124265,-0.59900877325356,1,1,1.0
92,등촌1동,0.6289718842355547,0.7803518124372388,0.7885113577866983,1.5688631702239368,1.4093236966727936,1.4174832420222532,2.197835054459492,92,-0.8824176108295296,-0.7515560613708995,-0.12557429281797056,-0.8786315166539707,0.03908237205135504,-0.8395491446026156,1,1,1.0
93,등촌2동,1.2524115102516218,0.5217435358773712,-0.2287971831249842,0.29294635275238695,1.774155046128993,1.0236143271266376,1.5453578630040088,93,-0.8824176108295296,-1.146997347850231,-1.2415891082781987,-1.2492563845643838,-0.3926847858493285,-1.6419411704137123,1,1,1.0
100,망원1동,0.3033510525393249,0.866663550758105,1.9392003518401344,2.80586390259824,1.17001460329743,2.2425514043794594,3.1092149551375643,100,-0.8824176108295296,-0.22430101273179065,-0.4873074791960227,-0.38446502610675315,-0.24426482532096852,-0.6287298514277216,1,1,1.0
102,면목2동,0.9833776536194632,0.6845411195936278,-0.1506779346747291,0.5338631849188987,1.6679187732130911,0.832699718944734,1.5172408385383618,102,-0.8824176108295296,-0.22430101273179065,0.3084644814346286,-0.38446502610675315,-0.7030174305904447,-1.087482456697198,1,1,1.0
112,목2동,1.1841701457822955,0.5565536053463955,0.8070992175465661,1.3636528228929616,1.7407237511286908,1.9912693633288616,2.5478229686752574,112,0.3689036834571611,-0.6197422992111223,-0.48485533258876085,-0.5080066487435575,-0.5006265753244994,-1.0086332240680569,1,1,1.0
113,목3동,0.3748219466028786,0.43116132307122623,-0.6696308841867133,-0.2384695611154871,0.8059832696741048,-0.29480893758383475,0.13635238548739148,113,-0.8824176108295296,-1.146997347850231,-0.7279648485860886,-1.2492563845643838,-0.48713385164010303,-1.7363902362044867,1,1,1.0
114,목4동,0.3110738406994339,0.7144825947088119,-0.16298611208329014,0.5514964826255218,1.0255564354082458,0.14808772861614372,0.8625703233249556,114,-0.8824176108295296,-0.8174629424507881,-0.1871023552990705,-0.9404023279723729,-0.10933758847700492,-1.049739916449378,1,1,1.0
118,묵2동,0.01606333298327237,0.6069046537731235,-0.09240248245460306,0.5145021713185205,0.6229679867563959,-0.07633914947133069,0.5305655043017928,118,-0.8824176108295296,-0.4879285370513451,-0.002912189930771247,-0.631548271380362,-0.43316295690251755,-1.0647112282828795,1,1,1.0
