동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
명일2동,5747.0,-35.8232,7664.0,50.0,26181.0,52362.0
목1동,23733.0,-8.1879,17388.0,195.0,161180.0,82656.41
목2동,25078.0,-20.17,6179.0,30.0,21188.0,70626.67
목3동,19314.0,-25.1176,300.0,31.0,15080.0,48645.16
목4동,18860.0,-13.9386,2317.0,59.0,47727.0,80893.22
목5동,23652.0,-8.2914,9909.0,105.0,94214.0,89727.62
무악동,6222.0,-111.7871,0.0,31.0,9592.0,30941.94
묵1동,21898.0,-45.9283,3029.0,95.0,40145.0,42257.89
묵2동,16759.0,-18.1833,2598.0,35.0,30656.0,87588.57
문래동,18322.0,-10.1749,5953.0,93.0,103830.0,111645.16
문정1동,14552.0,-32.8144,2872.0,33.0,32750.0,99242.42
문정2동,29910.0,-18.8467,9816.0,172.0,128997.0,74998.26
미성동,16764.0,-43.5885,0.0,40.0,28508.0,71270.0
미아동,9326.0,-63.1605,0.0,109.0,62593.0,57424.77
반포1동,23128.0,-18.3898,0.0,65.0,23442.0,36064.62
반포2동,8742.0,-10.765999999999998,4369.0,56.0,35982.0,64253.57
반포3동,17822.0,-10.9822,1362.0,0.0,0.0,0.0
반포4동,13591.0,-29.674,763.0,78.0,94279.0,120870.51
반포본동,12936.0,-12.1254,3663.0,35.0,26238.0,74965.71
발산1동,40166.0,-17.8532,1835.0,102.0,37436.0,36701.96
방배1동,9876.0,-43.1254,0.0,15.0,12741.0,84940.0
방배2동,15766.0,-76.9292,876.0,60.0,37577.0,62628.33
방배3동,10631.0,-108.4053,904.0,102.0,27649.0,27106.86
방배4동,9839.0,-34.6078,203.0,74.0,61069.0,82525.68
방배본동,10538.0,-24.6315,1483.0,65.0,19212.0,29556.92
방이1동,15660.0,-24.1512,6119.0,40.0,56398.0,140995.0
방이2동,21898.0,-18.9306,4249.0,52.0,92352.0,177600.0
방학1동,22046.0,-25.3917,6955.0,117.0,64002.0,54702.56
방학2동,20067.0,-40.6482,1134.0,20.0,140.0,700.0
방학3동,22478.0,-59.0572,1132.0,18.0,10440.0,58000.0
방화1동,30318.0,-10.0962,2734.0,30.0,39074.0,130246.67
방화2동,21214.0,-16.1277,3306.0,30.0,12268.0,40893.33
방화3동,14211.0,-11.937000000000001,3625.0,33.0,17238.0,52236.36
번1동,22884.0,-28.5802,6240.0,48.0,28873.0,60152.08
번2동,15899.0,-38.2818,6690.0,64.0,28460.0,44468.75
번3동,14030.0,-35.0517,6935.0,80.0,22326.0,27907.5
보광동,8129.0,-25.2322,845.0,10.0,8146.0,81460.0
보라매동,19665.0,-68.4394,0.0,10.0,36286.0,362860.0
보문동,11115.0,-27.213,1395.0,8.0,3426.0,42825.0
부암동,8504.0,-150.3404,0.0,55.0,8275.0,15045.45
북가좌1동,16692.0,-23.3311,0.0,158.0,81759.0,51746.2
북가좌2동,18454.0,-30.3938,0.0,73.0,65465.0,89678.08
북아현동,8610.0,-53.6243,0.0,61.0,20017.0,32814.75
불광1동,26204.0,-171.1831,0.0,92.0,57282.0,62263.04
불광2동,12786.0,-80.954,0.0,47.0,22033.0,46878.72
사근동,7914.0,-22.8211,3644.0,50.0,15228.0,30456.0
사당1동,19191.0,-18.7344,4059.0,102.0,43120.0,42274.51
사당2동,24815.0,-32.0488,5518.0,50.0,24830.0,49660.0
사당3동,27003.0,-54.0408,1762.0,62.0,24080.0,38838.71
사당4동,14471.0,-28.3723,0.0,0.0,0.0,0.0
사당5동,10150.0,-52.8901,0.0,10.0,3314.0,33140.0
사직동,6521.0,-38.6793,1180.0,134.0,101397.0,75669.4
삼각산동,13797.0,-59.6836,0.0,25.0,4406.0,17624.0
삼선동,16638.0,-43.9661,252.0,55.0,42145.0,76627.27
삼성1동,9102.0,-21.6139,10379.0,155.0,96339.0,62154.19
삼성2동,18627.0,-33.8038,0.0,35.0,18138.0,51822.86
삼성동,14790.0,-132.8473,544.0,30.0,8194.0,27313.33
삼양동,22173.0,-66.0186,0.0,20.0,7415.0,37075.0
삼전동,29489.0,-14.0758,8341.0,49.0,55667.0,113606.12
삼청동,3064.0,-106.5445,837.0,72.0,37505.0,52090.28
상계10동,13342.0,-27.4981,4300.0,20.0,29674.0,148370.0
상계1동,18196.0,-179.4844,4384.0,98.0,51495.0,52545.92
상계2동,23273.0,-29.8419,5871.0,70.0,106008.0,151440.0
상계3·4동,14269.0,-180.6368,0.0,41.0,20089.0,48997.56
상계5동,15231.0,-67.3376,2455.0,75.0,50191.0,66921.33
상계6·7동,31184.0,-24.0934,12792.0,111.0,113133.0,101921.62
상계8동,21852.0,-26.0031,6894.0,15.0,862.0,5746.67
상계9동,10030.0,-58.376999999999995,4325.0,19.0,27548.0,144989.47
상도1동,35214.0,-84.6084,599.0,62.0,12383.0,19972.58
상도2동,19684.0,-46.7362,1557.0,88.0,32879.0,37362.5
상도3동,21312.0,-54.3228,0.0,0.0,0.0,0.0
상도4동,17537.0,-63.0299,0.0,7.0,7439.0,106271.43
상봉1동,28308.0,-32.603,356.0,60.0,54026.0,90043.33
상봉2동,15988.0,-18.6654,595.0,64.0,82320.0,128625.0
상암동,20662.0,-22.9013,34644.0,419.0,245503.0,58592.6
상일동,8821.0,-32.514,9646.0,92.0,18393.0,19992.39
서강동,18689.0,-19.5893,7418.0,65.0,97225.0,149576.92
서교동,21503.0,-18.1224,0.0,130.0,199889.0,153760.77
서림동,14245.0,-85.0578,3313.0,55.0,42224.0,76770.91
서빙고동,12722.0,-14.4033,12590.0,35.0,31009.0,88597.14
서원동,23229.0,-48.1321,1855.0,27.0,19393.0,71825.93
서초1동,18401.0,-32.4724,3540.0,130.0,47047.0,36190.0
서초2동,15960.0,-25.1365,1314.0,32.0,24126.0,75393.75
서초3동,29600.0,-52.9027,1428.0,64.0,26532.0,41456.25
서초4동,17677.0,-20.4171,469.0,115.0,44352.0,38566.96
석관동,20944.0,-19.1082,2192.0,55.0,41705.0,75827.27
석촌동,26310.0,-15.2512,4962.0,42.0,2144.0,5104.76
성내1동,21676.0,-14.9771,1486.0,77.0,107506.0,139618.18
성내2동,12882.0,-19.577,2193.0,45.0,44254.0,98342.22
성내3동,10998.0,-18.3203,5908.0,75.0,76650.0,102200.0
성북동,12439.0,-126.7945,604.0,120.0,44183.0,36819.17
성산1동,13163.0,-17.6853,1468.0,20.0,26219.0,131095.0
성산2동,31895.0,-18.0344,12889.0,132.0,139354.0,105571.21
성수1가1동,21414.0,-13.1126,11337.0,86.0,98426.0,114448.84
성수1가2동,9974.0,-12.2976,8363.0,52.0,63111.0,121367.31
성수2가1동,13141.0,-10.8933,5613.0,29.0,56543.0,194975.86
성수2가3동,15463.0,-12.9908,4901.0,60.0,117932.0,196553.33
성현동,16202.0,-93.6938,0.0,0.0,0.0,0.0
세곡동,26291.0,-35.4262,7628.0,109.0,48294.0,44306.42
소공동,291.0,-34.5482,0.0,134.0,75679.0,56476.87
송정동,17150.0,-13.7883,3501.0,42.0,46443.0,110578.57
송중동,18203.0,-63.6602,3489.0,18.0,21819.0,121216.67
송천동,14103.0,-36.4739,236.0,20.0,6568.0,32840.0
송파1동,21449.0,-21.4248,4530.0,37.0,98197.0,265397.3
송파2동,15621.0,-29.1611,4776.0,35.0,13929.0,39797.14
수궁동,19314.0,-48.0821,4420.0,35.0,8233.0,23522.86
수색동,7585.0,-53.9105,430.0,20.0,6773.0,33865.0
수서동,9322.0,-23.8554,10439.0,50.0,30088.0,60176.0
수유1동,24876.0,-93.00200000000001,0.0,10.0,6598.0,65980.0
수유2동,17280.0,-34.5127,1791.0,40.0,27988.0,69970.0
수유3동,14182.0,-32.1465,4047.0,95.0,86742.0,91307.37
숭인1동,8539.0,-29.3301,0.0,10.0,28201.0,282010.0
숭인2동,2762.0,-18.9664,0.0,30.0,41281.0,137603.33
시흥1동,34174.0,-24.3491,2022.0,90.0,25860.0,28733.33
시흥2동,12927.0,-185.6773,0.0,10.0,3299.0,32990.0
시흥3동,6853.0,-75.9421,0.0,50.0,6707.0,13414.0
시흥4동,8340.0,-77.7288,0.0,15.0,3528.0,23520.0
시흥5동,8507.0,-111.34899999999999,0.0,0.0,0.0,0.0
신길1동,17767.0,-16.2348,2258.0,20.0,29975.0,149875.0
신길3동,14823.0,-18.8944,0.0,20.0,21146.0,105730.0
신길4동,4585.0,-28.7538,0.0,0.0,0.0,0.0
신길5동,9785.0,-17.6147,250.0,40.0,18674.0,46685.0
신길6동,17444.0,-21.5141,1305.0,50.0,52721.0,105442.0
신길7동,10617.0,-27.0105,1344.0,72.0,54228.0,75316.67
신내1동,20057.0,-54.9743,196.0,80.0,21788.0,27235.0
