,HDong_name,workppl,dem,bikelength
226,시흥3동,6853.0,-75.9421,0.0
227,시흥4동,8340.0,-77.7288,0.0
228,시흥5동,8507.0,-111.349,0.0
229,신길1동,17767.0,-16.2348,2258.0
230,신길3동,14823.0,-18.8944,0.0
231,신길4동,4585.0,-28.7538,0.0
232,신길5동,9785.0,-17.6147,250.0
233,신길6동,17444.0,-21.5141,1305.0
234,신길7동,10617.0,-27.0105,1344.0
235,신내1동,20057.0,-54.9743,196.0
236,신내2동,15414.0,-42.1001,3730.0
237,신당5동,14050.0,-40.1969,0.0
238,신당동,6512.0,-23.068,0.0
239,신대방1동,9807.0,-22.4217,2842.0
240,신대방2동,19505.0,-28.5638,715.0
241,신도림동,31530.0,-9.3841,8003.0
242,신림동,10507.0,-24.3306,2368.0
243,신사1동,31367.0,-28.3552,2962.0
244,신사2동,21055.0,-39.4853,1820.0
245,신사동,38635.0,-15.2641,5404.0
246,신수동,15039.0,-15.2285,986.0
247,신원동,17898.0,-33.2124,1075.0
248,신월1동,23694.0,-11.064,0.0
249,신월2동,21898.0,-24.2376,1552.0
250,신월3동,18448.0,-20.6407,0.0
251,신월4동,11162.0,-13.1944,376.0
252,신월5동,18676.0,-22.5912,0.0
253,신월6동,6534.0,-29.5578,712.0
254,신월7동,21989.0,-35.8836,0.0
255,신정1동,19492.0,-9.0925,4026.0
256,신정2동,13593.0,-7.835,5416.0
257,신정3동,33246.0,-32.9565,9400.0
258,신정4동,21667.0,-10.8433,2039.0
259,신정6동,16226.0,-8.5779,7276.0
260,신정7동,20458.0,-15.3246,3594.0
261,신촌동,20259.0,-76.4549,0.0
262,쌍문1동,16475.0,-56.2902,0.0
263,쌍문2동,17746.0,-30.0264,2555.0
264,쌍문3동,12780.0,-38.4616,1771.0
265,쌍문4동,16512.0,-41.8865,17.0
266,아현동,10800.0,-29.5315,0.0
267,안암동,8190.0,-43.3385,3404.0
268,암사1동,21959.0,-27.1087,2466.0
269,암사2동,21162.0,-11.5234,9927.0
270,암사3동,15929.0,-33.5697,3784.0
271,압구정동,14463.0,-15.7634,6466.0
272,약수동,13337.0,-89.42,0.0
273,양재1동,35327.0,-53.3229,12990.0
274,양재2동,23053.0,-98.4335,11635.0
275,양평1동,17714.0,-8.8492,2278.0
276,양평2동,16707.0,-7.2502,4540.0
277,여의동,23521.0,-7.7843,23601.0
278,역삼1동,32980.0,-37.8068,1807.0
279,역삼2동,28777.0,-31.0122,3670.0
280,역촌동,24937.0,-23.2868,2651.0
281,연남동,9576.0,-15.9123,1777.0
282,연희동,18365.0,-74.0317,0.0
283,염리동,12256.0,-44.7824,0.0
284,염창동,23160.0,-9.7432,6686.0
285,영등포동,15586.0,-10.5894,0.0
286,영등포본동,19930.0,-16.4519,0.0
287,오금동,25619.0,-26.8207,8006.0
288,오류1동,19722.0,-29.3015,1699.0
289,오류2동,34244.0,-36.9812,4333.0
290,오륜동,15405.0,-20.8259,11552.0
291,옥수동,13840.0,-21.0855,8452.0
292,왕십리2동,12816.0,-33.4305,0.0
293,왕십리도선동,14279.0,-21.8933,634.0
294,용강동,20588.0,-11.324,5139.0
295,용답동,15365.0,-12.0197,13200.0
296,용문동,4856.0,-17.7389,0.0
297,용산2가동,10876.0,-63.8429,5030.0
298,용신동,25504.0,-16.8627,1164.0
299,우이동,23229.0,-209.4446,390.0
300,우장산동,19685.0,-29.4457,2000.0
301,원효로1동,10582.0,-14.9804,1629.0
302,원효로2동,13540.0,-18.8211,3742.0
303,월계1동,17449.0,-29.9065,0.0
304,월계2동,21741.0,-39.4355,2938.0
305,월계3동,25452.0,-17.2632,7039.0
306,월곡1동,20448.0,-54.8635,0.0
307,월곡2동,12088.0,-50.5533,1272.0
308,위례동,15566.0,-37.9739,0.0
309,은천동,24340.0,-57.0405,2695.0
310,을지로동,512.0,-23.8676,0.0
311,응봉동,4745.0,-17.5644,3866.0
312,응암1동,18778.0,-53.2423,0.0
313,응암2동,13514.0,-99.0505,0.0
314,응암3동,14226.0,-29.3219,0.0
315,이문1동,16019.0,-21.486,1359.0
316,이문2동,14271.0,-15.9863,4171.0
317,이촌1동,19570.0,-7.5694,12746.0
318,이촌2동,7346.0,-9.3376,12146.0
319,이태원1동,8554.0,-60.8562,0.0
320,이태원2동,2877.0,-115.1475,924.0
321,이화동,10293.0,-55.3303,1304.0
322,인수동,24758.0,-136.5536,0.0
323,인헌동,13907.0,-113.5061,404.0
324,일원1동,10912.0,-15.2469,1738.0
325,일원2동,11348.0,-14.978,7061.0
326,일원본동,18223.0,-72.2373,11994.0
327,자양1동,16275.0,-20.3562,4022.0
328,자양2동,16958.0,-15.0846,8884.0
329,자양3동,22462.0,-12.8251,5343.0
330,자양4동,11876.0,-12.1523,2980.0
331,잠실2동,32102.0,-10.4197,13418.0
332,잠실3동,14253.0,-12.7993,6310.0
333,잠실4동,14175.0,-14.6933,7853.0
334,잠실6동,12581.0,-11.6193,11674.0
335,잠실7동,8389.0,-14.2176,4996.0
336,잠실본동,29315.0,-13.953,6851.0
337,잠원동,30037.0,-17.5639,5406.0
338,장안1동,21004.0,-12.4826,8415.0
339,장안2동,16426.0,-12.6789,2801.0
340,장위1동,16579.0,-37.902,0.0
341,장위2동,8797.0,-21.7936,584.0
342,장위3동,11343.0,-22.1887,2617.0
343,장지동,13843.0,-32.9411,2650.0
344,장충동,13582.0,-70.9723,2830.0
345,전농1동,26422.0,-24.3913,0.0
346,전농2동,13357.0,-37.1024,0.0
347,정릉1동,18299.0,-50.3205,0.0
348,정릉2동,23300.0,-70.8446,0.0
349,정릉3동,16375.0,-135.803,0.0
350,정릉4동,24443.0,-258.1992,0.0
351,제기동,15406.0,-16.9916,880.0
352,조원동,12783.0,-17.0941,0.0
353,종로1·2·3·4가동,8853.0,-31.3656,4529.0
354,종로5·6가동,7098.0,-29.7645,0.0
355,종암동,24711.0,-27.9916,1914.0
356,중계1동,20346.0,-36.9197,3474.0
357,중계2·3동,15090.0,-25.7067,3833.0
358,중계4동,8405.0,-181.7358,930.0
359,중계본동,12747.0,-137.0066,0.0
360,중곡1동,19099.0,-18.6564,3549.0
361,중곡2동,18336.0,-28.9272,2913.0
362,중곡3동,16563.0,-33.4225,1942.0
363,중곡4동,11556.0,-158.281,0.0
364,중림동,6081.0,-35.1046,0.0
365,중앙동,13134.0,-50.2592,559.0
366,중화1동,11989.0,-44.5284,0.0
367,중화2동,19641.0,-15.6428,1493.0
368,증산동,18335.0,-19.0155,3993.0
369,진관동,39858.0,-146.1655,2115.0
370,창1동,22082.0,-30.2232,1047.0
371,창2동,14734.0,-39.47,0.0
372,창3동,3590.0,-62.7343,0.0
373,창4동,13785.0,-22.7581,7685.0
374,창5동,13687.0,-25.4397,47.0
375,창신1동,7628.0,-22.9801,0.0
376,창신2동,4541.0,-48.4957,0.0
377,창신3동,5661.0,-46.6966,0.0
378,천연동,17594.0,-59.576,0.0
379,천호1동,24974.0,-28.3545,2432.0
380,천호2동,26445.0,-15.5001,6815.0
381,천호3동,23521.0,-24.1685,371.0
382,청구동,8832.0,-60.8394,0.0
383,청담동,18558.0,-20.1158,5325.0
384,청량리동,15334.0,-37.9034,964.0
385,청룡동,25387.0,-46.3329,2407.0
386,청림동,6976.0,-84.2389,0.0
387,청운효자동,9057.0,-82.9345,2319.0
388,청파동,10777.0,-30.5015,286.0
389,충현동,16595.0,-63.0969,0.0
390,평창동,11943.0,-282.8426,0.0
391,풍납1동,16677.0,-13.737,8520.0
392,풍납2동,21804.0,-12.6403,15273.0
393,필동,5091.0,-79.1061,1855.0
394,하계1동,13990.0,-44.3205,3977.0
395,하계2동,20741.0,-20.978,2113.0
396,한강로동,9261.0,-16.1042,395.0
397,한남동,14904.0,-48.8304,14779.0
398,합정동,17448.0,-11.3868,8493.0
399,행당1동,10982.0,-19.3713,187.0
400,행당2동,15672.0,-32.5491,0.0
401,행운동,20977.0,-74.2251,492.0
402,혜화동,14702.0,-51.857,2178.0
