주소,OBJECTID,adm_nm,adm_cd,adm_cd2,sidonm,sggnm,기간,자치구,동,인구,면적,인구밀도
서울특별시 광진구 중곡4동,70,서울특별시 광진구 중곡4동,1105058,1121577000,서울특별시,광진구,2019,광진구,중곡4동,"30,516",2.32,"13,153"
서울특별시 광진구 능동,71,서울특별시 광진구 능동,1105059,1121578000,서울특별시,광진구,2019,광진구,능동,"11,978",1.1,"10,889"
서울특별시 광진구 구의1동,72,서울특별시 광진구 구의1동,1105060,1121585000,서울특별시,광진구,2019,광진구,구의1동,"23,063",0.56,"41,184"
서울특별시 광진구 구의2동,73,서울특별시 광진구 구의2동,1105061,1121586000,서울특별시,광진구,2019,광진구,구의2동,"27,902",1.39,"20,073"
서울특별시 광진구 구의3동,74,서울특별시 광진구 구의3동,1105062,1121587000,서울특별시,광진구,2019,광진구,구의3동,"30,094",1.02,"29,504"
서울특별시 광진구 광장동,75,서울특별시 광진구 광장동,1105063,1121581000,서울특별시,광진구,2019,광진구,광장동,"36,083",2.39,"15,097"
서울특별시 광진구 자양1동,76,서울특별시 광진구 자양1동,1105064,1121582000,서울특별시,광진구,2019,광진구,자양1동,"24,156",0.57,"42,379"
서울특별시 광진구 자양2동,77,서울특별시 광진구 자양2동,1105065,1121583000,서울특별시,광진구,2019,광진구,자양2동,"26,893",1.68,"16,008"
서울특별시 광진구 자양3동,78,서울특별시 광진구 자양3동,1105066,1121584000,서울특별시,광진구,2019,광진구,자양3동,"29,475",1.2,"24,563"
서울특별시 광진구 자양4동,79,서울특별시 광진구 자양4동,1105067,1121584700,서울특별시,광진구,2019,광진구,자양4동,"23,000",1.16,"19,828"
서울특별시 동대문구 회기동,80,서울특별시 동대문구 회기동,1106071,1123071000,서울특별시,동대문구,2019,동대문구,회기동,"13,114",0.76,"17,255"
서울특별시 동대문구 휘경1동,81,서울특별시 동대문구 휘경1동,1106072,1123072000,서울특별시,동대문구,2019,동대문구,휘경1동,"16,508",0.63,"26,203"
서울특별시 동대문구 휘경2동,82,서울특별시 동대문구 휘경2동,1106073,1123073000,서울특별시,동대문구,2019,동대문구,휘경2동,"25,068",1.05,"23,874"
서울특별시 동대문구 청량리동,83,서울특별시 동대문구 청량리동,1106080,1123070500,서울특별시,동대문구,2019,동대문구,청량리동,"21,808",1.2,"18,173"
서울특별시 동대문구 용신동,84,서울특별시 동대문구 용신동,1106081,1123053600,서울특별시,동대문구,2019,동대문구,용신동,"32,144",1.61,"19,965"
서울특별시 동대문구 제기동,85,서울특별시 동대문구 제기동,1106082,1123054500,서울특별시,동대문구,2019,동대문구,제기동,"27,364",1.18,"23,190"
서울특별시 동대문구 전농1동,86,서울특별시 동대문구 전농1동,1106083,1123056000,서울특별시,동대문구,2019,동대문구,전농1동,"31,075",1.19,"26,113"
서울특별시 동대문구 전농2동,87,서울특별시 동대문구 전농2동,1106084,1123057000,서울특별시,동대문구,2019,동대문구,전농2동,"19,990",0.86,"23,244"
서울특별시 동대문구 답십리2동,88,서울특별시 동대문구 답십리2동,1106086,1123061000,서울특별시,동대문구,2019,동대문구,답십리2동,"30,486",0.85,"35,866"
서울특별시 동대문구 장안1동,89,서울특별시 동대문구 장안1동,1106087,1123065000,서울특별시,동대문구,2019,동대문구,장안1동,"39,153",1.25,"31,322"
서울특별시 동대문구 장안2동,90,서울특별시 동대문구 장안2동,1106088,1123066000,서울특별시,동대문구,2019,동대문구,장안2동,"33,045",1.09,"30,317"
서울특별시 동대문구 이문1동,91,서울특별시 동대문구 이문1동,1106089,1123074000,서울특별시,동대문구,2019,동대문구,이문1동,"22,311",1.04,"21,453"
서울특별시 동대문구 이문2동,92,서울특별시 동대문구 이문2동,1106090,1123075000,서울특별시,동대문구,2019,동대문구,이문2동,"21,174",0.69,"30,687"
서울특별시 동대문구 답십리1동,93,서울특별시 동대문구 답십리1동,1106091,1123060000,서울특별시,동대문구,2019,동대문구,답십리1동,"29,783",0.81,"36,769"
서울특별시 중랑구 면목2동,94,서울특별시 중랑구 면목2동,1107052,1126052000,서울특별시,중랑구,2019,중랑구,면목2동,"25,942",0.73,"35,537"
서울특별시 중랑구 면목4동,95,서울특별시 중랑구 면목4동,1107054,1126054000,서울특별시,중랑구,2019,중랑구,면목4동,"20,052",1.1,"18,229"
서울특별시 중랑구 면목5동,96,서울특별시 중랑구 면목5동,1107055,1126055000,서울특별시,중랑구,2019,중랑구,면목5동,"9,825",0.64,"15,352"
서울특별시 중랑구 면목7동,97,서울특별시 중랑구 면목7동,1107057,1126057000,서울특별시,중랑구,2019,중랑구,면목7동,"22,200",0.87,"25,517"
서울특별시 중랑구 상봉1동,98,서울특별시 중랑구 상봉1동,1107059,1126058000,서울특별시,중랑구,2019,중랑구,상봉1동,"25,499",0.85,"29,999"
서울특별시 중랑구 상봉2동,99,서울특별시 중랑구 상봉2동,1107060,1126059000,서울특별시,중랑구,2019,중랑구,상봉2동,"19,844",0.68,"29,182"
서울특별시 중랑구 중화1동,100,서울특별시 중랑구 중화1동,1107061,1126060000,서울특별시,중랑구,2019,중랑구,중화1동,"20,916",0.68,"30,759"
서울특별시 중랑구 중화2동,101,서울특별시 중랑구 중화2동,1107062,1126061000,서울특별시,중랑구,2019,중랑구,중화2동,"27,274",0.98,"27,831"
서울특별시 중랑구 묵1동,102,서울특별시 중랑구 묵1동,1107064,1126062000,서울특별시,중랑구,2019,중랑구,묵1동,"36,016",1.2,"30,013"
서울특별시 중랑구 묵2동,103,서울특별시 중랑구 묵2동,1107065,1126063000,서울특별시,중랑구,2019,중랑구,묵2동,"19,901",0.7,"28,430"
서울특별시 중랑구 망우3동,104,서울특별시 중랑구 망우3동,1107068,1126066000,서울특별시,중랑구,2019,중랑구,망우3동,"17,941",0.99,"18,122"
서울특별시 중랑구 신내1동,105,서울특별시 중랑구 신내1동,1107069,1126068000,서울특별시,중랑구,2019,중랑구,신내1동,"40,854",2.53,"16,148"
서울특별시 중랑구 신내2동,106,서울특별시 중랑구 신내2동,1107070,1126069000,서울특별시,중랑구,2019,중랑구,신내2동,"21,905",0.99,"22,126"
서울특별시 중랑구 면목본동,107,서울특별시 중랑구 면목본동,1107071,1126056500,서울특별시,중랑구,2019,중랑구,면목본동,"36,195",1.01,"35,837"
서울특별시 중랑구 면목3·8동,108,서울특별시 중랑구 면목3·8동,1107072,1126057500,서울특별시,중랑구,2019,중랑구,면목3·8동,"26,589",1.67,"15,922"
서울특별시 중랑구 망우본동,109,서울특별시 중랑구 망우본동,1107073,1126065500,서울특별시,중랑구,2019,중랑구,망우본동,"31,071",2.88,"10,789"
서울특별시 성북구 돈암1동,110,서울특별시 성북구 돈암1동,1108058,1129058000,서울특별시,성북구,2019,성북구,돈암1동,"15,921",0.49,"32,492"
서울특별시 성북구 돈암2동,111,서울특별시 성북구 돈암2동,1108059,1129059000,서울특별시,성북구,2019,성북구,돈암2동,"25,028",0.48,"52,142"
서울특별시 성북구 안암동,112,서울특별시 성북구 안암동,1108060,1129060000,서울특별시,성북구,2019,성북구,안암동,"17,502",1.33,"13,159"
서울특별시 성북구 보문동,113,서울특별시 성북구 보문동,1108061,1129061000,서울특별시,성북구,2019,성북구,보문동,"16,653",0.56,"29,738"
서울특별시 성북구 정릉1동,114,서울특별시 성북구 정릉1동,1108062,1129062000,서울특별시,성북구,2019,성북구,정릉1동,"19,455",0.44,"44,216"
서울특별시 성북구 정릉2동,115,서울특별시 성북구 정릉2동,1108063,1129063000,서울특별시,성북구,2019,성북구,정릉2동,"23,834",1.17,"20,371"
서울특별시 성북구 정릉3동,116,서울특별시 성북구 정릉3동,1108064,1129064000,서울특별시,성북구,2019,성북구,정릉3동,"17,233",3.71,"4,645"
서울특별시 성북구 정릉4동,117,서울특별시 성북구 정릉4동,1108065,1129065000,서울특별시,성북구,2019,성북구,정릉4동,"26,792",3.13,"8,560"
서울특별시 성북구 길음1동,118,서울특별시 성북구 길음1동,1108066,1129066000,서울특별시,성북구,2019,성북구,길음1동,"37,082",0.79,"46,939"
서울특별시 성북구 길음2동,119,서울특별시 성북구 길음2동,1108068,1129068500,서울특별시,성북구,2019,성북구,길음2동,"16,620",0.58,"28,655"
서울특별시 성북구 월곡1동,120,서울특별시 성북구 월곡1동,1108071,1129071500,서울특별시,성북구,2019,성북구,월곡1동,"27,523",0.81,"33,979"
서울특별시 성북구 월곡2동,121,서울특별시 성북구 월곡2동,1108072,1129072500,서울특별시,성북구,2019,성북구,월곡2동,"20,509",1.36,"15,080"
서울특별시 성북구 장위1동,122,서울특별시 성북구 장위1동,1108076,1129076000,서울특별시,성북구,2019,성북구,장위1동,"20,592",0.7,"29,417"
서울특별시 성북구 장위2동,123,서울특별시 성북구 장위2동,1108077,1129077000,서울특별시,성북구,2019,성북구,장위2동,"13,972",0.67,"20,854"
서울특별시 성북구 장위3동,124,서울특별시 성북구 장위3동,1108078,1129078000,서울특별시,성북구,2019,성북구,장위3동,"17,580",0.65,"27,046"
서울특별시 성북구 성북동,125,서울특별시 성북구 성북동,1108081,1129052500,서울특별시,성북구,2019,성북구,성북동,"17,584",2.86,"6,148"
서울특별시 성북구 삼선동,126,서울특별시 성북구 삼선동,1108082,1129055500,서울특별시,성북구,2019,성북구,삼선동,"26,013",0.92,"28,275"
서울특별시 성북구 동선동,127,서울특별시 성북구 동선동,1108083,1129057500,서울특별시,성북구,2019,성북구,동선동,"16,276",0.73,"22,296"
서울특별시 성북구 종암동,128,서울특별시 성북구 종암동,1108084,1129070500,서울특별시,성북구,2019,성북구,종암동,"42,068",1.46,"28,814"
서울특별시 성북구 석관동,129,서울특별시 성북구 석관동,1108085,1129081000,서울특별시,성북구,2019,성북구,석관동,"36,507",1.73,"21,102"
서울특별시 강북구 번1동,130,서울특별시 강북구 번1동,1109060,1130559500,서울특별시,강북구,2019,강북구,번1동,"19,614",0.66,"29,718"
서울특별시 강북구 번2동,131,서울특별시 강북구 번2동,1109061,1130560300,서울특별시,강북구,2019,강북구,번2동,"17,102",0.95,"18,002"
서울특별시 강북구 번3동,132,서울특별시 강북구 번3동,1109062,1130560800,서울특별시,강북구,2019,강북구,번3동,"18,251",1.1,"16,592"
서울특별시 강북구 수유1동,133,서울특별시 강북구 수유1동,1109063,1130561500,서울특별시,강북구,2019,강북구,수유1동,"21,841",1.67,"13,078"
서울특별시 강북구 수유2동,134,서울특별시 강북구 수유2동,1109064,1130562500,서울특별시,강북구,2019,강북구,수유2동,"21,939",0.57,"38,489"
서울특별시 강북구 수유3동,135,서울특별시 강북구 수유3동,1109065,1130563500,서울특별시,강북구,2019,강북구,수유3동,"24,064",0.72,"33,422"
서울특별시 강북구 삼양동,136,서울특별시 강북구 삼양동,1109069,1130553400,서울특별시,강북구,2019,강북구,삼양동,"25,537",0.91,"28,063"
서울특별시 강북구 미아동,137,서울특별시 강북구 미아동,1109070,1130553500,서울특별시,강북구,2019,강북구,미아동,"22,814",0.93,"24,531"
서울특별시 강북구 송중동,138,서울특별시 강북구 송중동,1109071,1130554500,서울특별시,강북구,2019,강북구,송중동,"31,153",1.01,"30,845"
서울특별시 강북구 송천동,139,서울특별시 강북구 송천동,1109072,1130555500,서울특별시,강북구,2019,강북구,송천동,"28,628",0.9,"31,809"
서울특별시 강북구 삼각산동,140,서울특별시 강북구 삼각산동,1109073,1130557500,서울특별시,강북구,2019,강북구,삼각산동,"32,900",0.62,"53,065"
